Symbol,ISIN,Name,URL
BCLIND,INE412G01024,BCL Industries Ltd,https://tickertape.in/stocks/bcl-industries-BCLI
HDFCBANK,INE040A01034,HDFC Bank Ltd,https://www.tickertape.in/stocks/hdfc-bank-HDBK
NIFTYBEES,INF204KB14I2,Nippon India NIFTY50 BEES ETF,https://tickertape.in/etfs/nippon-india-nifty-50-bees-etf-NBES
PAYTM,INE982J01020,One 97 Communications Ltd,https://www.tickertape.in/stocks/one-97-communications-PAY
PPFAS FCF Direct,INF879O01027,Parag Parikh Flexi Cap Fund,https://tickertape.in/mutualfunds/parag-parikh-flexi-cap-fund-M_PARO
VPS Lakeshore,INE01TI01010,Lakeshore Hospital and Research Centre Ltd.,
Nippon Liquid Fund Direct,INF204K01ZH0,Nippon India Liquid Fund,https://www.tickertape.in/mutualfunds/nippon-india-liquid-fund-M_NIQG
Kotak EQ Savings,INF174K01D28,Kotak Equity Savings Fund,https://www.tickertape.in/mutualfunds/kotak-equity-savings-fund-M_KOEC
HDFC Ni50,INF179K01WM1,HDFC Index Fund Nifty 50,https://www.tickertape.in/mutualfunds/hdfc-index-fund-nifty-50-plan-M_HD5Y
Invesco Arbitrage,INF205K01KR8,Invesco India Arbitrage Fund,https://www.tickertape.in/mutualfunds/invesco-india-arbitrage-fund-M_INRB
